/*********************************************
 * OPL 12.10.0.0 Data
 * Author: Thomas
 * Creation Date: 12 mai 2020 at 15:56:06
 *********************************************/

chemin = 10;
n=8;
probabilites = 
[
 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
 [0, 2, 2, 0, 1, 1, 0, 3, 3, 0],
 [0, 1, 3, 2, 1, 1, 4, 3, 0, 0],
 [0, 2, 2, 3, 3, 0, 0, 3, 0, 0],
 [0, 2, 4, 3, 3, 3, 1, 1, 3, 0],
 [0, 2, 2, 3, 1, 4, 2, 2, 2, 0],
 [0, 4, 4, 0, 2, 1, 3, 4, 4, 0],
 [0, 1, 1, 2, 2, 1, 4, 1, 2, 0],
 [0, 3, 1, 4, 4, 0, 0, 4, 3, 0],
 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
  ];
